Sample,Elapsed Time,Delta Time,Voltage
0,0.007976770401000977,0.007976770401000977,0.00262935818
1,0.013959646224975586,0.005982875823974609,-0.00464822436
2,0.019944190979003906,0.00598454475402832,0.0095367745
3,0.02693009376525879,0.006985902786254883,-0.00641144022
4,0.03291058540344238,0.005980491638183594,-0.00295808275
5,0.038893938064575195,0.0059833526611328125,0.00545631354
6,0.04487895965576172,0.0059850215911865234,-0.00598909518
7,0.05086112022399902,0.005982160568237305,-0.000894502626
8,0.056844472885131836,0.0059833526611328125,0.00451886558
9,0.06383156776428223,0.006987094879150391,-0.00651515668
10,0.06981110572814941,0.0059795379638671875,0.00748050006
11,0.07579469680786133,0.005983591079711914,-0.00179672061
12,0.08177900314331055,0.005984306335449219,-0.0033756063
13,0.1356344223022461,0.05385541915893555,0.00162070577
14,0.1416187286376953,0.005984306335449219,0.00216428708
15,0.14760279655456543,0.005984067916870117,-0.00445185367
16,0.15358686447143555,0.005984067916870117,0.00969810559
17,0.15957283973693848,0.00598597526550293,-0.00704215308
18,0.16555476188659668,0.005981922149658203,-0.00272756399
19,0.171539306640625,0.00598454475402832,0.00635783036
20,0.1775219440460205,0.005982637405395508,-0.00587240333
21,0.23142719268798828,0.05390524864196777,-0.000462644691
22,0.2365262508392334,0.005099058151245117,0.00991494778
23,0.24350738525390625,0.0069811344146728516,-0.00713954207
24,0.24946999549865723,0.0059626102447509766,-0.00226998899
25,0.2556157112121582,0.0061457157135009766,0.00619012844
26,0.26160454750061035,0.0059888362884521484,-0.0058932989
27,0.26758480072021484,0.005980253219604492,-0.000411677995
28,0.27370357513427734,0.0061187744140625,0.00459554935
29,0.27962779998779297,0.005924224853515625,-0.00688948672
30,0.33271288871765137,0.0530850887298584,0.00458529191
31,0.3386967182159424,0.005983829498291016,0.00601333771
32,0.3446803092956543,0.005983591079711914,-0.00593063239
33,0.350663423538208,0.005983114242553711,-0.000348437077
34,0.3566911220550537,0.006027698516845703,0.00455755805
35,0.36268138885498047,0.005990266799926758,-0.00662781495
36,0.3690807819366455,0.006399393081665039,0.00268397775
37,0.3744637966156006,0.005383014678955078,0.00176564231
38,0.38046908378601074,0.006005287170410156,-0.00433671115
39,0.43434643745422363,0.05387735366821289,0.00988445258
40,0.44013428688049316,0.005787849426269531,0.00456664686
41,0.4459664821624756,0.005832195281982422,-0.00659413433
42,0.45260071754455566,0.006634235382080078,0.00242731783
43,0.45801830291748047,0.005417585372924805,0.0018286495
44,0.4640004634857178,0.005982160568237305,-0.00435971026
45,0.4699881076812744,0.005987644195556641,0.0098496467
46,0.4759693145751953,0.0059812068939208984,-0.00717504912
47,0.48192739486694336,0.005958080291748047,-0.0024360982
48,0.5353550910949707,0.053427696228027344,0.00621537806
49,0.5409448146820068,0.005589723587036133,0.00488270447
50,0.5470230579376221,0.006078243255615234,-0.00578841382
51,0.553227424621582,0.006204366683959961,0.00749188275
52,0.5590231418609619,0.005795717239379883,-0.00181695838
53,0.5650055408477783,0.005982398986816406,-0.0034006222
54,0.5709877014160156,0.005982160568237305,0.00888830809
55,0.576974630355835,0.005986928939819336,-0.00753045701
56,0.5827906131744385,0.005815982818603516,-0.00105925286
57,0.6361682415008545,0.053377628326416016,0.00526130183
58,0.6421911716461182,0.006022930145263672,-0.00102285427
59,0.6478466987609863,0.005655527114868164,-0.00354625992
60,0.6544196605682373,0.0065729618072509766,0.00962390606
61,0.6607866287231445,0.0063669681549072266,-0.00742510447
62,0.6667709350585938,0.005984306335449219,-0.00117940723
63,0.6723642349243164,0.005593299865722656,0.00516119487
64,0.6784727573394775,0.006108522415161133,-0.00594112355
65,0.6849133968353271,0.006440639495849609,-0.00112160224
66,0.7383217811584473,0.05340838432312012,0.00481988763
67,0.7433116436004639,0.0049898624420166016,-0.00643894036
68,0.750291109085083,0.006979465484619141,-0.000913848862
